,시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
177,강원,지정초 판대분교장,1994,원주,초,대부,강원도 원주시 지정면 판대리 427
178,강원,지촌초 원평분교장,1997,춘천,초,대부,강원도 춘천시 사북면 원평리 478-2
179,강원,창원초등학교,1994,영월,초,대부,강원도 영월군   남면  창원리 887-5
180,강원,창촌초 운두분교장,2009,홍천,초,대부,강원도 홍천군 내면 자운리 413
181,강원,창촌초 원자분교장,1994,홍천,초,대부,강원도 홍천군 내면 자운리 1171-3
182,강원,천전초 부귀분교장,1995,춘천,초,자체활용,강원도 춘천시 북산면 부귀리 433-1
183,강원,철암초 백산분교장,2008,태백,초,대부,강원도 태백시 백산동 89
184,강원,초계초등학교,1995,고성,초,자체활용,강원도 고성군 거진읍 대대리 315-1
185,강원,판운초 중선분교장,1998,영월,초,대부,강원도 영월군   주천면  판운리 1119
186,강원,평창초 도돈분교장,1999,평창,초,대부,강원도 평창군 평창읍 도돈리 35
187,강원,하장고등학교,2022,삼척,고,자체활용,강원도 삼척시 하장면  광동리 121
188,강원,하장초 갈전분교장,2011,삼척,초,미활용,강원도 삼척시 하장읍 갈전리 365
189,강원,하장초 토산분교장,2002,삼척,초,대부,강원도 삼척시 하장면  토산리 225
190,강원,현성초 면옥치분교장,1997,속초양양,초,대부,강원도 양양군 현북면 면옥치리 141
191,강원,현천초등학교,1999,횡성,초,자체활용,강원도 횡성군 둔내면 현천리 1103
192,강원,화계초 노일분교장,2017,홍천,초,대부,강원도 홍천군 북방면 노일리 469-1
193,강원,화계초 성동분교장,2013,홍천,초,대부,강원도 홍천군 북방면 성동리 642-5
194,강원,화계초 역전분교장,1994,홍천,초,대부,강원도 홍천군 북방면 역전평리 91
195,강원,화계초 화양분교장,1994,홍천,초,미활용,강원도 홍천군 북방면 굴지리 243-2
196,강원,화동초 북동분교장,2010,정선,초,대부,강원도 정선군 화암면 북동리 182
197,강원,화전초등학교,2015,태백,초,대부,강원도 태백시 화전동 167-2
198,강원,화촌초 율촌분교장,1994,홍천,초,대부,강원도 홍천군 화촌면 주음치리 271
199,강원,횡성초 당평분교장,2016,횡성,초,대부,강원도 횡성군 갑천면 추동리 70-14
200,강원,후용초등학교,2000,원주,초,대부,강원도 원주시 문막읍 후용리 389
201,강원,흥업초 사제분교장,2000,원주,초,대부,강원도 원주시 흥업면 사제리 534
202,경기,(구)고양중,2013,고양,중,자체활용,경기도 고양시 삼송동 45
203,경기,(구)교하중,2006,파주,중,자체활용,경기도 파주시 다율동 56-8
204,경기,(구)군남초,2001,연천,초,대부,경기도 연천군 군남면 삼거리 597
205,경기,(구)군서초,1999,시흥,초,자체활용,경기도 시흥시 정왕동 806-20
206,경기,(구)대광중,2020,연천,중,자체활용,경기도 연천군 신서면 도신리 228
207,경기,(구)동패초,2020,파주,초,자체활용,경기도 파주시 동패동 1795
208,경기,(구)목동초,1999,가평,초,미활용,경기도 가평군 북면 목동리919
209,경기,(구)백성초,2018,안성,초,자체활용,경기도 안성시 금산동 119
210,경기,(구)별내초,1999,구리남양주,초,자체활용,경기도 남양주시 별내면 광전리 145-5
211,경기,(구)보개초,2021,안성,초,자체활용,경기도 안성시 보개면 복평리 162
212,경기,(구)삼송초,2014,고양,초,미활용,경기도 고양시 삼송동 62
213,경기,(구)상신초,2017,화성오산,초,대부,경기도 화성시 향납읍 상신리 874
214,경기,(구)율면초,2001,이천,초,자체활용,경기도 이천시 율면 오성리 550-5
215,경기,(구)화정초,1994,안산,초,대부,경기도 안산시 단원구 화정동 519
216,경기,가납초 현암분교장,1991,동두천양주,초,미활용,경기도 양주시 광적면 비암리 231-4
